continent,country_code,country_name,level1_name,level1_type,level2_name,level2_type,level3_name,level3_type,name,type,parent_name,parent_type,parent_slug,parent_import_key,display_name,slug,import_key,leaf_level,leaf_code,leaf_type,path
Europe,SI,Republic of Slovenia,Velenje,Urban municipality,,,,,Velenje,Urban municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Velenje, Republic of Slovenia, Europe",europe/republic-of-slovenia/velenje,SI::SI-133::1::velenje::europe::republic-of-slovenia::velenje,1,SI-133,Urban municipality,Europe > Republic of Slovenia > Velenje
Europe,SI,Republic of Slovenia,Velike Lašče,Municipality,,,,,Velike Lašče,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Velike Lašče, Republic of Slovenia, Europe",europe/republic-of-slovenia/velike-lasce,SI::SI-134::1::velike-lasce::europe::republic-of-slovenia::velike-lasce,1,SI-134,Municipality,Europe > Republic of Slovenia > Velike Lašče
Europe,SI,Republic of Slovenia,Videm,Municipality,,,,,Videm,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Videm, Republic of Slovenia, Europe",europe/republic-of-slovenia/videm,SI::SI-135::1::videm::europe::republic-of-slovenia::videm,1,SI-135,Municipality,Europe > Republic of Slovenia > Videm
Europe,SI,Republic of Slovenia,Vipava,Municipality,,,,,Vipava,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Vipava, Republic of Slovenia, Europe",europe/republic-of-slovenia/vipava,SI::SI-136::1::vipava::europe::republic-of-slovenia::vipava,1,SI-136,Municipality,Europe > Republic of Slovenia > Vipava
Europe,SI,Republic of Slovenia,Vitanje,Municipality,,,,,Vitanje,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Vitanje, Republic of Slovenia, Europe",europe/republic-of-slovenia/vitanje,SI::SI-137::1::vitanje::europe::republic-of-slovenia::vitanje,1,SI-137,Municipality,Europe > Republic of Slovenia > Vitanje
Europe,SI,Republic of Slovenia,Vodice,Municipality,,,,,Vodice,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Vodice, Republic of Slovenia, Europe",europe/republic-of-slovenia/vodice,SI::SI-138::1::vodice::europe::republic-of-slovenia::vodice,1,SI-138,Municipality,Europe > Republic of Slovenia > Vodice
Europe,SI,Republic of Slovenia,Vojnik,Municipality,,,,,Vojnik,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Vojnik, Republic of Slovenia, Europe",europe/republic-of-slovenia/vojnik,SI::SI-139::1::vojnik::europe::republic-of-slovenia::vojnik,1,SI-139,Municipality,Europe > Republic of Slovenia > Vojnik
Europe,SI,Republic of Slovenia,Vrhnika,Municipality,,,,,Vrhnika,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Vrhnika, Republic of Slovenia, Europe",europe/republic-of-slovenia/vrhnika,SI::SI-140::1::vrhnika::europe::republic-of-slovenia::vrhnika,1,SI-140,Municipality,Europe > Republic of Slovenia > Vrhnika
Europe,SI,Republic of Slovenia,Vuzenica,Municipality,,,,,Vuzenica,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Vuzenica, Republic of Slovenia, Europe",europe/republic-of-slovenia/vuzenica,SI::SI-141::1::vuzenica::europe::republic-of-slovenia::vuzenica,1,SI-141,Municipality,Europe > Republic of Slovenia > Vuzenica
Europe,SI,Republic of Slovenia,Zagorje ob Savi,Municipality,,,,,Zagorje ob Savi,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Zagorje ob Savi, Republic of Slovenia, Europe",europe/republic-of-slovenia/zagorje-ob-savi,SI::SI-142::1::zagorje-ob-savi::europe::republic-of-slovenia::zagorje-ob-savi,1,SI-142,Municipality,Europe > Republic of Slovenia > Zagorje ob Savi
Europe,SI,Republic of Slovenia,Zavrč,Municipality,,,,,Zavrč,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Zavrč, Republic of Slovenia, Europe",europe/republic-of-slovenia/zavrc,SI::SI-143::1::zavrc::europe::republic-of-slovenia::zavrc,1,SI-143,Municipality,Europe > Republic of Slovenia > Zavrč
Europe,SI,Republic of Slovenia,Zreče,Municipality,,,,,Zreče,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Zreče, Republic of Slovenia, Europe",europe/republic-of-slovenia/zrece,SI::SI-144::1::zrece::europe::republic-of-slovenia::zrece,1,SI-144,Municipality,Europe > Republic of Slovenia > Zreče
Europe,SI,Republic of Slovenia,Železniki,Municipality,,,,,Železniki,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Železniki, Republic of Slovenia, Europe",europe/republic-of-slovenia/zelezniki,SI::SI-146::1::zelezniki::europe::republic-of-slovenia::zelezniki,1,SI-146,Municipality,Europe > Republic of Slovenia > Železniki
Europe,SI,Republic of Slovenia,Žiri,Municipality,,,,,Žiri,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Žiri, Republic of Slovenia, Europe",europe/republic-of-slovenia/ziri,SI::SI-147::1::ziri::europe::republic-of-slovenia::ziri,1,SI-147,Municipality,Europe > Republic of Slovenia > Žiri
Europe,SI,Republic of Slovenia,Benedikt,Municipality,,,,,Benedikt,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Benedikt, Republic of Slovenia, Europe",europe/republic-of-slovenia/benedikt,SI::SI-148::1::benedikt::europe::republic-of-slovenia::benedikt,1,SI-148,Municipality,Europe > Republic of Slovenia > Benedikt
Europe,SI,Republic of Slovenia,Bistrica ob Sotli,Municipality,,,,,Bistrica ob Sotli,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Bistrica ob Sotli, Republic of Slovenia, Europe",europe/republic-of-slovenia/bistrica-ob-sotli,SI::SI-149::1::bistrica-ob-sotli::europe::republic-of-slovenia::bistrica-ob-sotli,1,SI-149,Municipality,Europe > Republic of Slovenia > Bistrica ob Sotli
Europe,SI,Republic of Slovenia,Bloke,Municipality,,,,,Bloke,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Bloke, Republic of Slovenia, Europe",europe/republic-of-slovenia/bloke,SI::SI-150::1::bloke::europe::republic-of-slovenia::bloke,1,SI-150,Municipality,Europe > Republic of Slovenia > Bloke
Europe,SI,Republic of Slovenia,Braslovče,Municipality,,,,,Braslovče,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Braslovče, Republic of Slovenia, Europe",europe/republic-of-slovenia/braslovce,SI::SI-151::1::braslovce::europe::republic-of-slovenia::braslovce,1,SI-151,Municipality,Europe > Republic of Slovenia > Braslovče
Europe,SI,Republic of Slovenia,Cankova,Municipality,,,,,Cankova,Municipality,Republic of Slovenia,country,europe/republic-of-slovenia,SI::country,"Cankova, Republic of Slovenia, Europe",europe/republic-of-slovenia/cankova,SI::SI-152::1::cankova::europe::republic-of-slovenia::cankova,1,SI-152,Municipality,Europe > Republic of Slovenia > Cankova
